"GRB_Name","z","log10T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","log10Fa","log10Ta","Alpha","Beta","log10PeakFluxErr","PhotonIndexErr","log10FaErr","log10TaErr","AlphaErr","BetaErr"
"070125A",1.55,1.77815125038364,-5.60205999132796,0.462397997898956,1.16,21.8647258020163,-12.7448,5.250332,1.779596,0.59,0.0101787769196075,0.19,0.027168,0.017308,0.052941,0.1
"070208A",1.17,1.80617997398389,-6.35163998901907,-0.0457574905606751,1.94,21.8647258020163,-12.723,2.851438,0.502246,1.03,0.106160873354128,0.36,0.043394,0.100608,0.017994,0.11
"070318A",0.836,1.87273882747267,-5.60554831917378,0.24551266781415,1.42,21.8776281602928,-11.1627,3.01049,0.999465,0.85,0.0370137342531181,0.08,0.0748,0.10326,0.106657,0.5757
"070411A",2.95,2.08902150079501,-5.56863623584101,-0.0409586076789064,1.72,22.3213954223232,-12.4597,3.319089,1.33119,1.09,0.0620420688433217,0.1,0.115184,0.105245,0.219221,0.11
"070419A",0.97,2.20411998265592,-6.25336580106242,-0.698970004336019,2.35,21.6479196376499,-12.67,3.27,1.4,0.6,0.217147240951626,0.25,0.12,0.07,0.05,0.36
"070612A",0.671,2.56253076886226,-4.97469413473523,0.178976947293169,1.69,22.2845480339141,-12.376,5.2145,2.69428,1.1,0.109292651074991,0.1,0.35375,0.14528,0.53173,0.3333
"070810A",2.17,1.04257551244019,-6.16115090926274,0.278753600952829,2.04,21.9310040145614,-12.45,3.77,1.5,1.01,0.0457152086213949,0.14,0.11,0.12,0.11,0.08
"071003A",1.6,2.17064302283611,-5.08092190762393,0.799340549453582,1.36,21.6926962555066,-13.16,5.51,2.17,0.35,0.0275742528192541,0.07,0.07,0.06,0.15,0.11
"071010A",0.99,0.792391689498254,-6.69897000433602,-0.0969100130080564,2.33,22.1395485191724,-13.1705,5.172418,2.253787,0.61,0.162860430713719,0.37,0.060832,0.033281,0.122333,0.12
"071010B",0.947,1.55266821611219,-5.35654732351381,0.886490725172482,1.53,21.3004715683883,-11.8207,3.16101,0.633623,0.68,0.0169205642299968,0.22,0.0527,0.19345,0.053512,0.14
"071025A",5,2.37683234929081,-5.18708664335714,0.204119982655925,1.79,21.0710833492999,-12.58,3.37,1.41,0.93,0.0542868102379065,0.05,0.03,0.02,0.01,0.05
"071031A",2.69,2.25741455876219,-6.04575749056067,-0.301029995663981,2.42,21.917264401322,-12.3316,3.545649,0.783822,0.34,0.0868588963806504,0.29,0.006784,0.012037,0.007754,0.3
"071112C",0.82,1.17609125905568,-5.52287874528034,0.903089986991944,1.09,21.6909072086586,-11.73,2.56,0.92,0.44,0.0542868102379065,0.07,0.01,0.02,0.01,0.11
"080310A",2.43,2.56045662225103,-5.63827216398241,0.113943352306837,2.32,21.4134271831505,-11.7773,3.53482,1.13752,0.42,0.0668145356774233,0.16,0.03995,0.03563,0.008815,0.12
"080319C",1.95,1.53071183798166,-5.44369749923271,0.716003343634799,1.37,21.7503741516549,-12.32,3.23,2,0.98,0.0250554508790338,0.07,0.25,0.13,0.56,0.42
"080330A",1.51,1.78318869107526,-6.46852108295774,-0.0457574905606751,2.53,21.6909072086586,-11.98,3.52,1.13,0.42,0.0965098848673893,0.45,0.01,0.01,0.008112,0.15
"080413A",2.43,1.66604973848052,-5.45593195564972,0.7481880270062,1.57,21.7642007990184,-10.34,1.89,0.95,0.52,0.0155105172108304,0.06,0.04,0.06,0.04,0.37
"080413B",1.1,0.843855422623161,-5.49485002168009,1.2718416065365,1.26,21.3132976260869,-13.54,5.62,2.29,0.74,0.0185794430760749,0.27,0.05,0.02,0.1,0.04
"080603A",1.69,1.77815125038364,-6.16115090926274,-0.154901959985743,2.35,22.0220281244648,-12.4,3.8,0.98,0.85,0.119080745037988,0.12,0.03,0.03,0.02,0.31
"080603B",2.6893,1.77815125038364,-5.61978875828839,0.544068044350276,1.21,21.3161150861621,-12.2511,4.19971,1.26607,0.62115,0.0248168275373287,0.3,0.01515,0.014815,0.02688,0.06837
